exp,sample_full,sample_reduced,contract,area_change_t10,area_change_t20,rel_max_contraction,best_mol,best_time_yarn,marker,color
pattern3023v2,Rose-1,R1,1_2_3_4_5_6_7_8,0.6870184771034743,0.4654193332213988,-0.06834497641275769,39,10,o,CC99FF
pattern3051v2,Rose-12,R12,1_2,0.4485252247902527,0.0723329820691161,-0.2021556848861408,5,10,o,FF6600
pattern3051v2,Rose-12,R12,1_2_3_4_5_6_7_8,0.3609579453724743,0.1031880970009998,-0.13601687960378497,17,10,o,FF6600
pattern3001,Rose-8,R8,3_6,0.4163996180780278,0.0488269335846226,-0.10980838054787537,11,10,o,FF69B4
pattern3001,Rose-8,R8,7_8,0.0545809924629648,0.0245814082212156,-0.011323674701564436,29,10,o,FF69B4
pattern3001,Rose-8,R8,2_3_4,0.2721851949750882,0.0364046983696457,-0.1093047085244228,12,10,o,FF69B4
pattern3001,Rose-8,R8,1_2_4_5,0.3949711621960204,0.0701130328808105,-0.07546201942222017,8,10,o,FF69B4
pattern3001,Rose-8,R8,1_4_7_8,0.3374420097008197,0.0492146923428357,-0.10230108950588118,1,10,o,FF69B4
pattern3001,Rose-8,R8,1_5_6,0.2721819912072582,0.0364027916877048,-0.10930368996806934,23,10,o,FF69B4
pattern3001,Rose-8,R8,1_3_5_7,0.1194930302836157,0.0326055356252754,-0.022272915477389296,18,10,o,FF69B4
pattern3001,Rose-8,R8,1_2_3_4_5_6_7_8,0.0624475997193129,0.0219366921300623,-0.011553796708290508,12,10,o,FF69B4
